nid;vid;type;language;title;uid;status;created;changed;comment;promote;sticky;tnid;translate;uuid;uri;title_en
4095;15125;dataset;el;Συνολικά αποτελέσματα ελέγχου ποιότητας νερού - Ιοντικός Έλεγχος και Βαρέα Μέταλλα;8;1;1536222813;1536223148;0;0;0;0;0;964ad0e9-bfa0-4f14-a43e-45cda7289fc8;https://data.gov.cy/api/dataset/node/4095;Total water quality control results - Ion Control and Heavy Metals
4091;15118;dataset;el;Συνολικά αποτελέσματα ελέγχου ποιότητας νερού - Οργανικοί Ρύποι;8;1;1536222448;1536223436;0;0;0;0;0;d668c0d1-e8f2-474a-be33-0ebd5010fa6b;https://data.gov.cy/api/dataset/node/4091;Total water quality control results - Organic Pollutants
4090;15151;dataset;el;Συνολικά αποτελέσματα ελέγχου ποιότητας νερού - Μικροβιολογικός Έλεγχος;8;1;1536222093;1536225302;0;0;0;0;0;aae62b42-05bd-49ce-9df3-fdda36fada93;https://data.gov.cy/api/dataset/node/4090;Total water quality control results - Microbiological Testing
4081;15033;dataset;el;Κέντρα Δήμων και Κοινοτήτων;19;1;1535969913;1535973301;0;0;0;0;0;4a660c0a-65fc-42f1-bde6-c22c7586d2d5;https://data.gov.cy/api/dataset/node/4081;Municipal and Community Centers
4061;14990;dataset;el;Δημόσιες Υπεραστικές Μεταφορές (INTERCITY BUSES);19;1;1535955608;1535958901;0;0;0;0;0;89912f5a-b49e-434f-ac94-a6d129823fcb;https://data.gov.cy/api/dataset/node/4061;Public Intercity Transport (INTERCITY BUSES)
4056;14965;dataset;el;Δημόσιες Μεταφορές Επαρχίας Πάφου;8;1;1535955253;1535957294;0;0;0;0;0;d9629ae4-a729-4ef1-a890-c5a22f210904;https://data.gov.cy/api/dataset/node/4056;Public Transit of Paphos District
4052;15002;dataset;el;Δημόσιες Μεταφορές Δήμου Λευκωσίας (Μικρά Λεωφορεία);19;1;1535955029;1535958901;0;0;0;0;0;2f7fb86e-6350-47eb-9393-2712dee8e4b6;https://data.gov.cy/api/dataset/node/4052;Public Transport of the Municipality of Nicosia (Small Buses)
4037;14889;dataset;el;Δημόσιες Μεταφορές Επαρχίας Αμμοχώστου;8;1;1535952874;1535953465;0;0;0;0;0;199d096e-596b-468d-953a-16bd2d9aec40;https://data.gov.cy/api/dataset/node/4037;Public Transport of the Famagusta District
4029;14876;dataset;el;Δημόσιες Μεταφορές Επαρχίας Λεμεσού;8;1;1535952385;1535953112;0;0;0;0;0;bacf544e-93e8-4357-ba45-e1bac0333468;https://data.gov.cy/api/dataset/node/4029;Public Transport of Limassol District
4028;14970;dataset;el;Δημόσιες Μεταφορές Επαρχίας Λάρνακας;19;1;1535952207;1535957078;0;0;0;0;0;b9d6cfcd-819d-4807-a99b-f962396f4cd1;https://data.gov.cy/api/dataset/node/4028;Public Transport of Larnaca District
4020;14972;dataset;el;Δημόσιες Μεταφορές Επαρχίας Λευκωσίας;19;1;1535951474;1535957108;0;0;0;0;0;60a902d7-472d-4c67-8d28-ec208c191c5b;https://data.gov.cy/api/dataset/node/4020;Public Transport of the Nicosia District
4016;14719;dataset;el;Μητρώο Εγγεγραμμένων Εταιρειών, Εμπορικών Επωνυμιών και Συνεταιρισμών στην Κύπρο;19;1;1535520041;1535523301;0;0;0;0;0;340dbc18-9d24-4156-857a-607617412b83;https://data.gov.cy/api/dataset/node/4016;Registry of Registered Companies, Commercial Names and Cooperatives in Cyprus
4012;14398;dataset;el;Μισθοδοσία Κρατικών Αξιωματούχων;8;1;1534244323;1534244804;0;0;0;0;0;d945fe61-41a0-4630-a063-8d08b9bf6f8c;https://data.gov.cy/api/dataset/node/4012;Payroll of State Officials
4008;14411;dataset;el;Μισθοί Κρατικών Υπαλλήλων και Υπερωριακή Αμοιβή;8;1;1534240823;1534248901;0;0;0;0;0;4a748aba-4d11-4733-a269-8820af604743;https://data.gov.cy/api/dataset/node/4008;Salaries of State Employees and Overtime Pay
4005;14376;dataset;el;Κλίμακες Μισθοδοσίας και Αποκοπές Μόνιμων Κρατικών Υπαλλήλων (Αναλυτικός Πίνακας);19;1;1534231060;1534234501;0;0;0;0;0;4bc24f5d-113c-4da8-9a07-3636d2c32715;https://data.gov.cy/api/dataset/node/4005;Salary Scale and Cuts of Permanent State Employees (Analytical Table)
4002;14372;dataset;el;Κλίμακες Μισθοδοσίας Μονίμων Κρατικών Υπαλλήλων (Συνοπτικός Πίνακας);19;1;1534225832;1534232333;0;0;0;0;0;2919155f-1460-4569-b4f5-7c36c6a26be5;https://data.gov.cy/api/dataset/node/4002;Scales of Payroll of Permanent State Employees (Summary Table)
3993;14206;dataset;el;Εργοδοτούμενοι Αορίστου Χρόνου στη Δημόσια Υπηρεσία ανά Θέση, Ηλικία και Φύλο;19;1;1532953584;1533024901;0;0;0;0;0;f9f191af-ea68-4500-926f-f2cb4e3b3f24;https://data.gov.cy/api/dataset/node/3993;Employees of Unlimited Time in the Public Service per Position, Age and Gender
3991;14199;dataset;el;Εργοδοτούμενοι Αορίστου Χρόνου στη Δημόσια Υπηρεσία ανά Κλίμακα, Ηλικία και Φύλο;19;1;1532953309;1532956501;0;0;0;0;0;2156cfdc-717a-4f0f-8c5e-1dc2c90efed8;https://data.gov.cy/api/dataset/node/3991;Employees of Open Time in the Public Service per Scale, Age and Gender
3974;13538;dataset;el;Κατάλογος Γραφείων Κτηνιατρικών Υπηρεσιών;821;1;1530515549;1530533701;0;0;0;0;0;7be02153-4e13-46a9-a394-2aad3ff31836;https://data.gov.cy/api/dataset/node/3974;Directory of Veterinary Services Offices
3972;15511;dataset;el;Μηνιαία Εισροή Νερού στους Ταμιευτήρες Νερού (Φράγματα) την τελευταία δεκαετία;827;1;1530253222;1536667469;0;0;0;0;0;ab3f5b76-dfcd-4544-8614-83b0c2f52c0d;https://data.gov.cy/api/dataset/node/3972;Monthly Water Inlet to Water Reservoirs (Dams) in the last decade
3948;13062;dataset;el;Καταγγελίες ανα έτος - Παραβάσεις  της Εθνικής και Κοινοτικής Νομοθεσίας που αφορά στον αλιευτικό τομέα;838;1;1529489995;1529500501;0;0;0;0;0;9016b565-1c6b-441e-b7f4-ecd1fc5db4e1;https://data.gov.cy/api/dataset/node/3948;Complaints per year - Infringements of national and Community legislation relating to the fisheries sector
3924;12680;dataset;el;Ανακοινώσεις (2018) του Δήμου Λευκωσίας;19;1;1526382166;1526382366;0;0;0;0;0;10e251ec-6989-4e85-8b4f-0b9d56423364;https://data.gov.cy/api/dataset/node/3924;Announcements (2018) of the Municipality of Nicosia
3922;12689;dataset;el;Δημόσιες Προσφορές (2018) του Δήμου Λευκωσίας;19;1;1526381056;1526382901;0;0;0;0;0;d82bb357-f0c4-4f9c-b915-692a56d81a80;https://data.gov.cy/api/dataset/node/3922;Public Offers (2018) of the Municipality of Nicosia
3910;12690;dataset;el;Ευρετήριο Αρχειακών Συλλογών Κρατικού Αρχείου;8;1;1525262851;1526470129;0;0;0;0;0;d87202e4-7b3b-48df-868c-ad4cccb8984f;https://data.gov.cy/api/dataset/node/3910;Index of State Archives Records
